tanggal,sesi,sesi_dgn_arus,jam_awal,jam_akhir,v_awal,v_akhir,v_min,v_maks,selisih_v,jam_tercatat,jarak_m,menit_gerak,wh_traksi,wh_gerak,wh_diam,wh_per_m
20260811,6,6,20:49,23:43,48.6,48.1,46.9,49.0,+0.5,0.99,55,0.8,238.6,9.3,229.3,0.17
20260812,14,14,00:34,17:07,48.1,42.4,40.8,48.9,+5.7,1.18,86,4.6,619.5,74.3,545.2,0.87
20260813,11,11,11:27,20:11,49.7,49.9,49.0,50.8,-0.2,6.91,343,14.4,1549.4,207.7,1341.7,0.61
20260814,29,29,10:47,18:11,49.1,49.5,48.3,50.0,-0.4,3.75,85,9.9,529.4,103.6,425.8,1.22
20260818,15,15,17:49,19:24,50.4,49.7,48.3,51.2,+0.7,4.14,540,59.0,1551.3,804.1,747.1,1.49
20260819,17,17,13:09,17:23,50.1,50.0,48.1,51.0,+0.1,3.46,463,42.4,1440.8,752.2,688.6,1.63
20260820,23,23,14:16,18:08,49.6,49.5,48.4,50.6,+0.1,3.80,658,61.0,1889.8,949.5,940.2,1.44
20260821,37,37,09:57,18:10,50.1,50.0,48.1,51.2,+0.1,6.82,551,42.3,1921.7,650.5,1271.2,1.18
20260824,10,10,15:38,18:56,49.6,49.5,48.3,50.1,+0.1,2.31,325,32.6,839.7,461.2,378.5,1.42
20260826,22,22,10:38,17:36,50.1,50.0,48.7,51.0,+0.1,6.11,596,65.2,1988.8,909.8,1079.0,1.53
20260827,4,4,12:16,16:54,49.8,49.6,47.9,50.5,+0.2,5.63,70,6.2,173.5,55.5,118.0,0.79
20260828,4,4,13:42,18:15,49.4,49.4,47.8,50.2,+0.0,4.30,284,28.9,1078.1,306.3,771.8,1.08
20260831,9,9,10:57,17:09,49.3,48.6,46.8,49.9,+0.7,5.75,642,62.9,2335.2,958.5,1376.6,1.49
20260914,24,24,13:04,15:26,49.4,49.3,48.1,49.8,+0.1,2.28,222,7.5,423.8,45.4,378.4,0.20
20260915,10,10,15:25,18:30,49.1,48.8,48.0,49.5,+0.3,2.82,75,4.4,1155.5,36.9,1118.7,0.49
20260916,24,24,12:00,19:20,48.5,46.2,45.6,48.7,+2.3,4.83,509,31.9,870.8,201.0,669.9,0.39
20260917,3,3,13:41,17:25,50.1,49.7,49.7,50.3,+0.4,4.43,0,0.0,0.0,0.0,0.0,
20260918,29,29,11:00,16:56,50.1,50.1,49.3,50.6,+0.0,6.10,752,36.4,1358.1,236.4,1121.6,0.31
