sesi,durasi_s,jarak_m,v_awal,v_akhir,v_min,i_rata_gerak_a,i_rata_diam_a,i_maks_a,wh_total,wh_gerak,wh_diam,wh_per_m_gerak,w_rata_gerak,detik_otonom,sumber_arus
20260811_204937,664,0.3,48.6,48.6,48.6,3.29,5.46,10.3,48.84,0.10,48.74,,,0,trq(/motor_torque)
20260811_210638,679,2.1,48.6,48.6,48.4,2.68,1.17,3.1,10.75,0.03,10.72,,,0,trq(/motor_torque)
20260811_211801,618,0.0,48.6,48.6,48.1,1.4,1.4,1.4,11.67,0.06,11.61,,,0,trq(/motor_torque)
20260811_214051,197,8.9,48.5,48.2,47.7,15.21,20.8,33.2,53.53,3.19,50.33,0.359,718,0,trq(/motor_torque)
20260811_230451,881,40.0,48.4,48.3,46.9,16.23,6.36,32.9,78.22,5.86,72.37,0.146,781,0,trq(/motor_torque)
20260811_234357,516,3.5,48.1,48.1,48.0,13.74,5.15,17.2,35.57,0.06,35.51,,,0,trq(/motor_torque)
20260812_003439,715,2.3,48.1,48.1,47.4,7.12,1.81,17.9,17.51,0.34,17.18,,,0,eff(/joint_states)
20260812_005957,576,0.0,48.1,48.0,47.0,23.12,13.18,33.0,109.87,21.49,88.38,,1105,0,trq(/motor_torque)
20260812_010139,404,33.0,48.1,48.0,47.2,23.17,19.49,33.0,108.37,24.72,83.65,0.749,1113,0,trq(/motor_torque)
20260812_011120,319,28.5,48.0,47.8,47.3,13.74,16.9,30.9,69.08,10.29,58.78,0.361,662,0,eff(/joint_states)
20260812_011713,876,13.4,48.0,47.7,47.1,21.94,25.16,33.3,289.39,17.10,272.30,1.276,1043,0,eff(/joint_states)
20260812_141856,275,0.0,47.1,47.0,47.0,,0.0,0.0,0.00,0.00,0.00,,,0,trq(/motor_torque)
20260812_143451,87,0.0,46.8,46.8,46.7,,5.1,5.1,5.73,0.00,5.73,,,0,trq(/motor_torque)
20260812_153614,73,0.0,45.4,45.3,45.3,,2.1,2.1,1.93,0.00,1.93,,,0,trq(/motor_torque)
20260812_161638,203,0.0,44.0,43.8,43.7,,4.09,4.1,10.09,0.00,10.09,,,0,trq(/motor_torque)
20260812_165547,117,5.2,43.2,43.1,42.6,4.59,3.85,23.2,5.39,0.19,5.20,0.037,,0,trq(/motor_torque)
20260812_165849,498,0.0,43.0,42.4,42.4,,0.0,0.0,0.00,0.00,0.00,,,0,trq(/motor_torque)
20260812_170720,77,2.9,42.4,42.4,40.8,4.69,1.6,14.7,1.49,0.08,1.41,,,0,trq(/motor_torque)
20260813_112738,16079,0.0,49.7,50.1,49.7,,0.0,0.0,0.00,0.00,0.00,,,0,trq(/motor_torque)
20260813_160002,159,0.0,50.1,50.1,50.0,,0.0,0.0,0.00,0.00,0.00,,,0,trq(/motor_torque)
20260813_160248,478,31.0,50.1,50.1,49.2,20.7,19.89,33.1,132.29,23.06,109.23,0.744,1025,0,trq(/motor_torque)
20260813_161121,265,9.2,50.1,50.1,49.4,22.84,18.91,29.5,71.89,13.79,58.10,1.499,1128,0,trq(/motor_torque)
20260813_161611,894,66.9,50.0,50.0,49.2,19.62,18.11,33.2,227.53,45.85,181.68,0.685,977,0,trq(/motor_torque)
20260813_163208,2739,67.5,50.0,50.1,49.4,15.4,7.13,33.1,287.92,31.49,256.43,0.466,766,0,trq(/motor_torque)
20260813_173643,47,0.0,50.1,50.1,50.0,,0.0,0.0,0.00,0.00,0.00,,,0,trq(/motor_torque)
20260813_173738,2852,93.1,50.1,50.0,49.2,14.42,14.59,33.4,576.65,48.09,528.56,0.517,718,0,trq(/motor_torque)
20260813_201126,1311,75.0,50.0,49.9,49.0,18.38,13.28,33.4,253.11,45.45,207.67,0.606,914,0,trq(/motor_torque)
20260814_104716,292,0.0,49.1,49.6,49.1,,0.0,0.0,0.00,0.00,0.00,,,0,trq(/motor_torque)
20260814_110525,89,0.0,49.5,49.5,49.5,,0.0,0.0,0.00,0.00,0.00,,,0,eff(/joint_states)
20260814_111347,283,0.0,49.5,49.5,49.5,,0.0,0.0,0.00,0.00,0.00,,,0,eff(/joint_states)
20260814_112537,1011,2.1,49.5,49.6,49.0,0.0,0.0,0.0,0.00,0.00,0.00,,0,0,eff(/joint_states)
20260814_114246,346,1.0,49.6,49.6,49.3,3.81,1.56,8.6,7.63,0.31,7.32,,,0,eff(/joint_states)
20260814_135126,882,6.4,49.6,49.5,48.3,20.26,6.73,33.4,80.06,14.49,65.57,2.265,1003,0,eff(/joint_states)
20260814_141527,177,7.0,49.6,49.5,48.7,16.98,2.87,29.9,11.87,5.96,5.90,0.852,826,0,eff(/joint_states)
20260814_142008,803,0.0,49.5,49.5,49.2,12.3,0.2,33.0,2.20,0.04,2.16,,,9,eff(/joint_states)
20260814_143401,350,5.0,49.6,49.5,48.6,19.43,3.04,31.6,23.51,10.59,12.92,2.118,953,2,eff(/joint_states)
20260814_143959,362,1.0,49.5,49.5,49.0,21.67,9.97,31.8,50.58,1.79,48.78,,,10,eff(/joint_states)
20260814_150229,95,1.0,49.6,49.6,49.4,3.99,0.35,7.9,0.72,0.28,0.43,,,0,eff(/joint_states)
20260814_150428,393,0.2,49.6,49.6,49.5,4.15,1.26,12.3,6.87,0.08,6.79,,,0,eff(/joint_states)
20260814_151318,1070,1.5,49.6,49.5,48.9,9.51,1.82,31.3,27.35,0.77,26.58,,,0,eff(/joint_states)
20260814_153319,162,0.7,49.6,49.6,49.3,2.96,1.23,17.1,3.06,0.55,2.51,,142,0,eff(/joint_states)
20260814_153840,100,0.2,49.6,49.6,49.3,4.25,1.44,9.2,2.08,0.12,1.96,,,0,eff(/joint_states)
20260814_154219,223,1.8,49.6,49.6,49.2,2.69,2.32,8.3,7.79,4.79,3.00,,134,0,eff(/joint_states)
20260814_154753,275,0.4,49.6,49.6,49.4,3.69,2.96,12.6,11.23,0.17,11.07,,,0,eff(/joint_states)
20260814_155434,313,2.2,49.6,49.5,48.4,20.07,1.56,32.2,10.15,3.76,6.39,,967,0,eff(/joint_states)
20260814_160143,298,3.4,49.6,49.6,48.7,12.47,3.43,32.3,14.99,1.36,13.62,,,0,trq(/motor_torque)
20260814_160848,516,9.2,49.6,49.6,48.4,18.34,1.79,33.0,19.40,7.52,11.88,0.818,903,0,trq(/motor_torque)
20260814_161752,173,0.0,49.6,49.6,49.5,,0.0,0.0,0.00,0.00,0.00,,,0,eff(/joint_states)
20260814_162056,461,13.4,49.6,49.5,48.8,15.58,3.56,33.0,39.95,22.68,17.27,1.692,770,31,eff(/joint_states)
20260814_163959,531,6.8,49.5,49.5,48.5,16.52,5.08,33.2,38.95,2.94,36.01,0.432,814,11,eff(/joint_states)
20260814_165647,833,0.3,49.5,49.5,48.9,12.04,2.45,32.9,28.40,0.54,27.86,,,22,eff(/joint_states)
20260814_171125,1486,7.6,49.5,49.5,49.1,16.63,0.39,29.5,18.78,11.02,7.76,1.450,826,0,eff(/joint_states)
20260814_174134,495,1.6,49.5,49.5,49.1,5.87,3.41,33.4,23.61,1.07,22.54,,297,19,eff(/joint_states)
20260814_174953,202,9.2,49.5,49.4,49.0,16.7,5.79,28.4,22.23,9.59,12.64,1.042,822,70,eff(/joint_states)
20260814_181111,1254,2.9,49.6,49.5,49.1,13.64,4.4,27.6,77.98,3.12,74.87,,660,9,eff(/joint_states)
20260818_175029,157,0.0,50.3,50.2,49.7,,0.0,0.0,0.00,0.00,0.00,,,0,eff(/joint_states)
20260818_175948,227,14.9,50.3,50.2,49.1,19.45,13.74,33.0,46.48,11.12,35.36,0.747,977,0,trq(/motor_torque)
20260818_180342,298,0.0,50.2,50.1,50.1,,6.46,10.0,26.79,0.00,26.79,,,0,trq(/motor_torque)
20260818_180843,133,0.0,50.1,50.1,50.1,,0.0,0.0,0.00,0.00,0.00,,,0,trq(/motor_torque)
20260818_182003,571,0.0,50.1,50.1,50.1,5.72,0.06,7.9,0.49,0.03,0.46,,,2,trq(/motor_torque)
20260818_182630,2241,0.0,50.1,49.9,48.6,0.0,0.0,0.0,0.00,0.00,0.00,,0,733,trq(/motor_torque)
20260818_182940,2051,118.6,50.1,49.9,48.3,19.93,6.68,33.4,309.25,180.46,128.79,1.522,990,669,eff(/joint_states)
20260818_183010,2021,118.6,50.1,49.9,48.4,19.93,7.3,33.4,309.25,166.57,142.68,1.404,990,670,eff(/joint_states)
20260818_183139,1932,118.6,50.1,49.9,48.3,19.92,7.36,33.4,309.24,179.19,130.05,1.511,991,639,eff(/joint_states)
20260818_184250,1262,66.6,49.9,49.9,48.5,19.49,7.21,33.0,182.50,90.10,92.40,1.353,965,333,eff(/joint_states)
20260818_190454,1081,25.1,49.9,49.8,48.4,18.46,4.99,33.4,87.88,27.23,60.65,1.085,908,0,eff(/joint_states)
20260818_192300,84,0.0,49.7,49.8,49.7,,13.4,13.4,15.59,0.00,15.59,,,30,eff(/joint_states)
20260818_192429,2792,77.7,49.7,49.7,48.4,21.65,3.63,33.3,263.80,149.44,114.36,1.923,1072,603,eff(/joint_states)
20260819_130935,707,42.3,50.1,50.0,48.1,21.69,10.4,33.3,138.89,71.75,67.14,1.696,1076,0,eff(/joint_states)
20260819_132126,859,47.5,50.0,50.0,49.1,21.08,10.56,33.0,160.54,69.68,90.86,1.467,1050,521,eff(/joint_states)
20260819_133550,36,0.9,50.1,50.0,48.9,16.95,3.66,28.0,2.65,1.05,1.60,,,0,eff(/joint_states)
20260819_133630,691,46.1,50.1,50.1,49.5,20.29,7.92,30.3,108.84,54.30,54.54,1.178,1013,326,eff(/joint_states)
20260819_134805,2482,15.2,50.1,48.1,48.1,4.85,0.82,31.6,30.62,2.76,27.86,0.182,242,0,eff(/joint_states)
20260819_144806,156,0.0,49.7,50.1,49.7,,0.0,0.0,0.00,0.00,0.00,,,0,eff(/joint_states)
20260819_145058,512,0.2,50.1,50.1,50.0,3.46,3.34,11.7,23.75,0.09,23.66,,,0,eff(/joint_states)
20260819_145936,603,5.7,50.1,50.1,49.3,19.38,5.5,32.4,55.16,12.66,42.50,2.221,970,0,eff(/joint_states)
20260819_150950,190,11.3,50.1,50.0,49.0,18.35,11.79,33.1,37.79,19.06,18.73,1.687,915,0,eff(/joint_states)
20260819_151310,1248,90.6,50.1,50.0,49.1,22.74,10.36,33.1,266.68,161.28,105.40,1.780,1134,773,eff(/joint_states)
20260819_153505,2143,102.3,50.1,50.1,49.1,22.76,5.59,32.7,316.95,200.49,116.46,1.960,1133,1032,eff(/joint_states)
20260819_163152,128,0.0,50.1,50.1,50.0,,8.5,8.5,14.95,0.00,14.95,,,0,eff(/joint_states)
20260819_170541,235,0.0,49.6,50.1,49.6,,0.0,0.0,0.00,0.00,0.00,,,0,eff(/joint_states)
20260819_171028,721,39.5,50.1,48.5,48.5,20.42,5.8,33.1,99.96,58.66,41.30,1.485,1015,301,eff(/joint_states)
20260819_172303,1713,61.1,50.1,50.0,49.3,20.83,4.42,33.1,183.99,100.41,83.58,1.643,1039,563,eff(/joint_states)
20260820_141626,223,3.7,49.6,49.6,49.3,6.15,3.13,25.1,10.57,1.98,8.60,,309,6,eff(/joint_states)
20260820_142013,323,0.9,49.6,49.6,49.4,6.34,5.17,8.2,23.10,0.52,22.57,,,0,eff(/joint_states)
20260820_142601,184,6.8,49.6,49.6,49.1,6.31,2.99,29.3,9.24,3.19,6.05,0.469,310,46,eff(/joint_states)
20260820_142932,605,51.4,49.6,49.5,48.4,21.1,11.67,33.2,132.54,80.31,52.23,1.562,1040,372,eff(/joint_states)
20260820_144010,81,0.9,49.6,49.6,49.0,18.96,1.9,28.9,4.71,2.88,1.83,,943,0,eff(/joint_states)
20260820_144224,62,0.0,49.6,49.6,49.6,,0.0,0.0,0.00,0.00,0.00,,,0,eff(/joint_states)
20260820_144351,186,6.8,49.6,49.6,49.0,16.38,7.22,30.2,23.76,9.44,14.33,1.388,809,0,eff(/joint_states)
20260820_144709,873,80.0,49.6,49.5,48.5,18.05,10.28,32.0,162.88,92.90,69.98,1.161,889,533,eff(/joint_states)
20260820_150216,1547,73.6,49.5,49.6,48.6,20.31,7.82,33.4,231.77,107.56,124.21,1.461,1001,568,eff(/joint_states)
20260820_152844,325,9.7,49.6,49.6,49.1,14.38,4.0,29.5,25.81,11.03,14.78,1.137,709,0,eff(/joint_states)
20260820_153416,1212,23.5,49.6,49.5,48.9,17.51,9.09,30.3,165.72,29.86,135.86,1.271,867,100,eff(/joint_states)
20260820_155549,1935,149.7,49.5,49.4,48.4,22.74,13.79,32.6,483.13,300.31,182.82,2.006,1119,1580,eff(/joint_states)
20260820_163345,270,5.5,49.5,49.4,49.1,15.88,14.02,27.9,52.40,6.22,46.18,1.131,772,0,eff(/joint_states)
20260820_163821,76,3.8,49.5,49.5,49.2,14.01,10.41,29.9,11.89,4.05,7.84,,694,0,eff(/joint_states)
20260820_163944,2114,120.5,49.5,49.5,48.5,16.54,6.65,30.1,281.02,148.25,132.78,1.230,814,1071,eff(/joint_states)
