sesi,tanggal,baris,durasi_s,jarak_m,n_bat,bat_awal_v,bat_akhir_v,bat_min_v,bat_maks_v,bat_rata_v,i_rata_a,i_maks_a,i_rata_gerak_a,i_rata_diam_a,detik_gerak,detik_diam,p_rata_w,energi_wh,energi_gerak_wh,energi_diam_wh,detik_otonom,sumber_arus
20260811_200246,20260811,6216,124,0.0,0,,,,,,,0.00,,,0,0,,0.000,0.000,0.000,0,
20260811_204937,20260811,33200,664,0.3,33196,48.60,48.60,47.50,48.60,48.60,5.45,10.30,3.29,5.46,2,662,264.8,48.840,0.097,48.743,0,trq(/motor_torque)
20260811_210638,20260811,33966,679,2.1,33962,48.60,48.60,48.40,48.60,48.59,1.17,3.10,2.68,1.17,1,678,57.0,10.749,0.030,10.719,0,trq(/motor_torque)
20260811_211801,20260811,30901,618,7981.5,30894,48.60,48.60,48.10,48.60,48.57,1.40,1.40,1.40,1.40,3,615,68.0,11.671,0.061,11.610,0,trq(/motor_torque)
20260811_214051,20260811,9844,197,8.9,9843,48.50,48.10,47.40,48.90,48.16,20.36,33.20,15.21,20.80,16,181,978.9,53.526,3.192,50.334,0,trq(/motor_torque)
20260811_230451,20260811,44038,881,40.0,43185,48.40,48.20,27.80,49.00,48.11,6.66,32.90,16.23,6.36,27,853,319.7,78.225,5.858,72.368,0,trq(/motor_torque)
20260811_234357,20260811,25809,516,3.5,25806,48.10,48.10,48.00,48.20,48.12,5.16,17.20,13.74,5.15,0,516,248.1,35.572,0.062,35.510,0,trq(/motor_torque)
20260812_003439,20260812,35752,715,2.3,35054,48.10,48.10,46.30,48.90,48.10,1.84,17.90,7.12,1.81,4,711,88.2,17.512,0.335,17.177,0,eff(/joint_states)
20260812_005240,20260812,4724,94,0.0,0,,,,,,0.00,0.00,,0.00,0,94,,0.000,0.000,0.000,0,eff(/joint_states)
20260812_005422,20260812,491,10,0.0,0,,,,,,0.00,0.00,,0.00,0,10,,0.000,0.000,0.000,0,eff(/joint_states)
20260812_005957,20260812,28797,576,4008.1,28786,48.10,48.00,46.60,48.40,47.87,14.39,33.00,23.12,13.18,70,506,686.8,109.872,21.492,88.380,0,trq(/motor_torque)
20260812_010139,20260812,20206,404,33.0,20205,48.10,48.00,46.60,48.40,47.79,20.23,33.00,23.17,19.49,80,324,965.4,108.372,24.723,83.649,0,trq(/motor_torque)
20260812_010828,20260812,542,11,3962.8,541,48.00,48.00,48.00,48.00,48.00,1.60,1.60,,1.60,0,11,76.8,0.230,0.000,0.230,0,trq(/motor_torque)
20260812_011028,20260812,757,15,0.2,756,48.00,48.00,47.70,48.10,48.02,1.83,6.90,3.78,1.69,1,14,87.9,0.369,0.050,0.319,0,trq(/motor_torque)
20260812_011120,20260812,15943,319,28.5,15177,48.00,47.80,47.00,48.60,47.81,16.34,30.90,13.74,16.90,56,262,780.0,69.078,10.295,58.783,0,eff(/joint_states)
20260812_011713,20260812,43776,876,13.4,43308,48.00,47.70,47.10,48.10,47.74,24.94,33.30,21.94,25.16,59,817,1190.0,289.395,17.096,272.299,0,eff(/joint_states)
20260812_141856,20260812,13759,275,0.0,13751,47.10,47.00,46.90,47.10,47.04,0.00,0.00,,0.00,0,275,,0.000,0.000,0.000,0,trq(/motor_torque)
20260812_143451,20260812,4332,87,0.0,4326,46.80,46.70,46.70,46.80,46.77,5.10,5.10,,5.10,0,87,238.3,5.733,0.000,5.733,0,trq(/motor_torque)
20260812_153614,20260812,3648,73,0.0,3647,45.40,45.30,45.30,45.40,45.38,2.10,2.10,,2.10,0,73,95.3,1.931,0.000,1.931,0,trq(/motor_torque)
20260812_161638,20260812,10137,203,0.0,10129,43.90,43.80,43.70,44.00,43.83,4.09,4.10,,4.09,0,203,179.1,10.087,0.000,10.087,0,trq(/motor_torque)
20260812_165547,20260812,5837,117,5.2,5828,43.20,43.00,42.50,43.20,43.08,3.87,23.20,4.59,3.85,4,113,166.2,5.389,0.192,5.197,0,trq(/motor_torque)
20260812_165849,20260812,24920,498,0.0,24915,43.00,42.40,42.40,43.00,42.71,0.00,0.00,,0.00,0,498,,0.000,0.000,0.000,0,trq(/motor_torque)
20260812_170720,20260812,3829,77,2.9,3820,42.40,42.40,25.50,43.10,41.69,1.66,14.70,4.69,1.60,2,75,70.0,1.489,0.084,1.405,0,trq(/motor_torque)
20260813_112738,20260813,803975,16079,0.0,799045,49.70,50.10,49.70,50.40,50.09,0.00,0.00,,0.00,0,15981,,0.000,0.000,0.000,0,trq(/motor_torque)
20260813_160002,20260813,7947,159,0.0,7942,50.10,50.10,50.00,50.10,50.10,0.00,0.00,,0.00,0,159,,0.000,0.000,0.000,0,trq(/motor_torque)
20260813_160248,20260813,23882,478,31.0,23877,50.10,50.10,49.10,50.80,49.85,20.03,33.10,20.70,19.89,81,397,997.1,132.289,23.057,109.233,0,trq(/motor_torque)
20260813_161121,20260813,13267,265,9.2,13259,50.10,50.00,49.10,50.80,49.94,19.56,29.50,22.84,18.91,44,222,975.5,71.889,13.788,58.101,0,trq(/motor_torque)
20260813_161611,20260813,44681,894,66.9,44680,50.10,50.00,49.00,50.70,49.88,18.39,33.20,19.62,18.11,169,725,916.7,227.533,45.852,181.681,0,trq(/motor_torque)
20260813_163141,20260813,990,20,0.0,982,50.00,50.00,50.00,50.10,50.01,0.00,0.00,,0.00,0,20,,0.000,0.000,0.000,0,trq(/motor_torque)
20260813_163208,20260813,136974,2739,67.5,136970,50.00,50.10,48.90,50.70,50.02,7.58,33.10,15.40,7.13,148,2592,378.4,287.915,31.487,256.428,0,trq(/motor_torque)
20260813_173609,20260813,1448,29,0.0,520,49.60,50.10,49.60,50.10,50.04,0.00,0.00,,0.00,0,10,,0.000,0.000,0.000,0,trq(/motor_torque)
20260813_173643,20260813,2369,47,0.0,2367,50.10,50.10,50.00,50.10,50.09,0.00,0.00,,0.00,0,47,,0.000,0.000,0.000,0,trq(/motor_torque)
